Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so,dp,stp,bg1,bg2,bg3,daw,esasha,esgshg,gwgshog,gwgshogdg,sta,stg,stg2,stp2,hb,netfow,shg2sha,stpgwg,tkagva,hat,hatshp,fight,ghht,ota,otp,bap,1s,2s,3s,fp,g_toi
"Aaron Dell",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050.52,52.526,0,0,0,0,17,11,6,1,533,37,2.11,496,0.931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,3,3,2,0,1050.52
"Aaron Ekblad",D,11,0.162,62,0,1178,17.324,7,0,0,5,12,2,0,0,0,0,10,0.147,0,68,58,2,88,0,0,29,0,71,1,21,0.309,58,-23,161,2.368,4,0,0,4,8,0,3.309,23.794,35,0.515,0,0,0,1,1618,0.044,225,1,25,1433.21,21.073,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,7,7,13,127,7,6,2,2,4,5,6,10,150,0,2,11,0.4310,0,1,0,0,0,1,0,1,2,1,0,0
"Aaron Ness",D,0,0,2,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,33,0,0,0,0,15.05,7.5,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Clendening",D,9,0.29,27,0,428,13.806,8,0,0,1,9,0,0,0,0,0,2,0.065,0,31,20,0,22,1,0,6,0,19,0,11,0.355,17,3,34,1.097,1,0,0,1,2,0,1.226,21.226,0,0,0,0,0,0,658,0.053,38,0,7,472.79,15.243,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,1,2,52,8,1,0,0,1,1,1,2,49,0,0,2,0.3500,0,0,1,0,0,0,0,0,1,0,0,0
"Adam Cracknell",RW,6,0.087,37,0,641,9.29,6,0,0,9,15,2,0.458,295,160,135,10,0.145,0,69,16,2,91,0,0,5,0,40,0,16,0.232,12,9,3,0.043,0,0,0,0,0,0,1.261,15.812,18,0.261,0,0,0,1,1091,0.115,87,1,19,711.77,10.303,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12,137,6,10,2,2,0,1,2,2,128,-25,2,3,1.1875,1,2,0,0,0,0,0,1,1,2,16,0
"Adam Erne",LW,0,0,13,0,268,10.308,0,0,0,3,3,2,0,2,2,0,3,0.115,0,26,5,0,71,1,0,3,0,18,0,3,0.115,11,-9,19,0.731,0,0,0,0,0,0,1.538,16.962,0,0,0,0,0,0,441,0.075,40,0,2,294.94,11.343,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,0,3,0,0,0,0,0,0,84,-2,0,0,0.4000,0,0,1,0,0,0,0,0,0,1,3,0
"Adam Henrique",C,20,0.244,68,0,1060,12.927,15,0,0,12,27,4,0.482,1214,629,585,20,0.244,0,82,28,2,88,0,0,14,1,48,1,40,0.488,38,-20,167,2.037,4,0,0,6,10,0,1.732,23.512,146,1.78,1,0,0,2,1928,0.141,142,3,45,1469.24,17.913,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10,23,136,16,14,2,2,5,8,10,16,156,-44,5,15,1.6071,0,3,0,0,0,2,0,1,6,5,40,0
"Adam Larsson",D,15,0.185,163,0,1451,17.914,15,0,0,4,19,0,0,0,0,0,4,0.049,0,81,74,0,267,1,0,25,0,41,0,19,0.235,57,22,4,0.049,0,0,0,0,0,0,1.074,26.123,100,1.235,0,0,0,0,2116,0.046,87,0,28,1613.62,19.921,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4,452,15,4,0,0,0,0,0,0,430,0,0,0,0.3784,0,0,1,0,0,0,0,0,1,1,0,0
"Adam Lowry",C,14,0.171,56,1,951,11.598,9,0,0,10,19,0,0.508,1295,637,658,15,0.183,0,82,24,1,217,2,0,16,1,42,0,29,0.354,52,1,116,1.415,4,0,0,5,9,0,1.488,23.598,143,1.744,1,0,0,0,1935,0.123,122,1,29,1297.49,15.811,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,6,16,274,10,10,1,1,5,5,5,11,273,21,1,11,1.2083,0,1,2,0,0,0,0,1,3,3,29,0
"Adam McQuaid",D,9,0.114,147,0,1198,15.165,8,0,0,2,10,1,0,0,0,0,2,0.025,0,79,24,1,159,5,0,17,1,30,0,11,0.139,71,4,2,0.025,0,0,0,0,0,0,0.835,24.949,145,1.835,1,0,0,0,1971,0.03,66,1,10,1412.58,17.871,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,3,310,9,2,1,1,1,0,0,2,306,0,1,2,0.4167,0,1,5,0,0,0,0,0,0,0,0,0
"Adam Pardy",D,0,0,3,0,42,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,1,0,0,0,6,-1,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,64,0,4,0,1,32.73,8.138,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Pelech",D,7,0.159,68,0,675,15.341,7,0,0,3,10,2,0,0,0,0,3,0.068,0,44,28,0,73,0,0,3,0,17,0,10,0.227,6,-5,0,0,0,0,0,0,0,0,0.909,19.727,30,0.682,0,0,0,0,868,0.075,40,0,17,723.59,16.435,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,136,7,3,0,0,0,0,0,0,141,0,0,0,0.6071,0,0,0,0,0,0,0,0,0,0,0,0
"Adrian Kempe",LW,4,0.16,7,0,261,10.44,1,0,0,2,3,0,0.438,153,86,67,2,0.08,0,25,10,1,23,0,0,3,0,12,0,6,0.24,6,-3,14,0.56,2,0,0,0,2,0,1.28,17.32,8,0.32,1,0,0,0,433,0.063,32,1,5,290.47,11.581,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,27,2,2,1,1,3,0,0,4,30,-19,1,4,0.5000,0,1,0,0,0,0,0,0,1,1,6,0
